Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
C-215_1	12.661104774511822	8.584645942257502	6.050396705507054	4.396472255851203	3.2688495883724458	2.7681096725206222	2.2862501370674817	2.0100693826905074	1.851083531387591	25.257719375047127	7.5537683042839445	12.398998174982461	3.972662470088801	4.782090066134528	0.5103603623001882	1.6474192569967037
C-215_2	10.831869488351755	8.198207195026251	6.2733661018973095	4.71120464725596	3.6226095275439083	2.954996096553897	2.4246991505446505	2.131371969170012	1.8312836045505285	25.26291725223373	7.571437094920872	12.656033186609134	4.224779185511256	5.160114795986103	0.626107306370898	1.5190033974735548
C-215_3	13.114391381856041	8.732120353213766	6.047574839922716	4.112177924813239	3.1025278336875566	2.5416650760927735	2.131411511705232	1.9481749036110927	1.6508933882342802	22.50885199157821	7.256314426845824	12.350699145061053	4.537814930298335	6.883574150779399	1.1831998165561723	1.8986083257442814
C-354_1	11.333595397955431	7.9602935596320314	5.967141103306632	4.2513542489229765	3.291897830610182	2.6129473642368555	2.2267012573894114	1.9496883818893265	1.8283035773635177	24.104662921271792	7.622351775730136	12.945719185083068	4.598621306326409	6.20298783364751	0.7940231997237358	2.3097110569110653
C-354_2	13.736070744333533	7.993100680461667	5.301189639239556	3.815934108975956	3.003872302132578	2.542647710720206	2.2067263439196676	2.005450183188672	1.6478300726658073	24.22442417867328	7.829440662893274	13.24502341872312	4.5416648321949475	5.928913596107901	0.6361544638750591	1.3415570618945267
C-354_3	10.359644091023878	7.520849047078803	5.532049629433714	4.108295984578163	3.214394059189338	2.6015849592763387	2.31984653789595	1.980126360991819	1.7104434670922868	24.065469052907513	7.925351722548982	13.656422681738324	4.822930552070693	7.115980357177931	0.8864324259617281	2.180179071034548
P29-215_1	17.279220255821713	9.089446052738673	5.783365846226339	4.082333961557498	3.2654172097950616	2.6830751701056745	2.3543388227247606	2.0558254098443864	1.8303560116173734	23.559568082624594	7.006729264234278	11.631425782193034	3.648184645299867	4.534493970806421	0.5191119963815214	0.677107518028873
P29-215_2	9.831691458205668	7.590599898974196	6.350311390027137	4.834174038781796	3.6314180837408743	2.8889343108522154	2.4053106085348124	2.0290394980364574	1.8790290131517302	24.41332321339173	7.387133845215016	12.4200480648031	4.521214302382428	6.267783008426725	0.7823212652783762	2.767668000197516
P29-215_3	11.292848939465747	8.703965026728916	6.6235903471367115	4.758274157646191	3.511522780373887	2.807293794556494	2.4052214935024914	2.0117874895948926	1.7768143247962471	23.7098486449341	7.072733426987759	11.999204061826047	4.316250355288058	6.123637083286941	0.777166326073525	2.1098417478018803
P29-354_1	10.452243336629378	7.234900778115187	5.386009811192826	3.9248177193417435	3.026999082459987	2.5747982802044653	2.1877669168033	1.8974762536105003	1.69147321847138	24.520802087252942	8.106229703462605	13.939168643014021	4.860239928873836	6.894383143762475	0.8971697073718837	2.405521389433614
P29-354_2	11.598424401214276	7.805486323854974	5.7881939106417954	4.151982765141907	3.16738523128087	2.524288735504621	2.2394590284228815	1.9273468264215308	1.826943291770718	23.787505520805052	7.548113553043115	13.436528410537028	4.809073943785193	6.563542895910814	0.8379271868851241	1.9877979747802281
P29-354_3	9.102923551738643	7.4985550354568336	6.843465602829428	5.506000550493077	4.247211864447972	3.4281005931841593	2.7465037126845573	2.398531305964674	2.0358086283774655	23.74234656093172	6.743124055079661	12.081126001673491	4.183650968189552	5.141129542574839	0.8034605993312661	3.49806142704265
Q2-215_1	8.830255243863084	7.728399972458895	6.965214193953092	5.234234206114565	3.996662038005563	3.1070267009637758	2.416883924830713	2.112022426347711	1.8503399400597846	24.445616966906186	7.0605499658655635	11.37853613839999	3.7474286400905346	5.644630821644349	1.003004041177877	4.47919477931825
Q2-215_2	9.846760323245551	7.509062788188846	6.117190851958824	4.593366334427063	3.515079382416813	2.7481221016912603	2.3738695835690162	2.034750570951991	1.7735175009169875	24.370355917193923	7.374739353040678	12.664476000672021	4.414671506511661	6.334293678036622	0.8574226742451599	3.47232143293352
Q2-215_3	8.668489552996014	7.167124542641498	6.418823439800603	5.035740645911075	3.6877386788385196	2.9988544534089367	2.4704699226006634	2.1144116955871417	1.8079167485460816	24.285307173078248	7.278055514402877	12.21872107888581	4.466161087594824	7.207038830322561	1.0588847743037473	3.1162618610812727
Q2-354_1	13.683395328636806	7.540115857773445	5.03749398364427	3.5501646361850216	2.7933720721892565	2.4167350133007846	2.015587456844776	1.7936206147692968	1.548208717076089	22.70682065136411	7.570244080776645	14.595827074508652	5.170685804355455	7.193468247067035	1.0666406577967973	1.3176198037119007
Q2-354_2	4.089591323937659	1.8889023899434882	2.6968776013063422	3.296654606824058	3.359565050456116	3.185716063842688	2.7410810894026074	2.283715212493234	1.8817033969565682	21.838904503356137	7.276847317928485	15.107527478416408	6.266881751026775	10.592796432732706	2.053257858067198	11.439977923309586
Q2-354_3	17.132243265772995	9.28789471536917	5.563945234232333	3.899645156578165	3.0060662252250876	2.5166220485728354	2.06007358742161	1.7590909503844079	1.5558372340634417	21.477472486305878	6.93191123329768	12.74012097146252	4.444775052642	5.808759067678339	0.6034746727406363	1.2120680982528678
