Sample	Unique Unpaired	Duplicate Unpaired
C-215_1	16922357.0	85849573.0
C-215_2	15021601.0	86760620.0
C-215_3	16315026.0	76835786.0
C-354_1	16078972.0	91923604.0
C-354_2	15714824.0	79264092.0
C-354_3	15734556.0	98253090.0
P29-215_1	16956446.0	65828097.0
P29-215_2	14093098.0	86299561.0
P29-215_3	16039303.0	84821820.0
P29-354_1	15064151.0	97252095.0
P29-354_2	13975835.0	79491550.0
P29-354_3	11309964.0	69337144.0
Q2-215_1	14567907.0	86892972.0
Q2-215_2	13881042.0	83802361.0
Q2-215_3	14594268.0	94700620.0
Q2-354_1	13472991.0	71370786.0
Q2-354_2	6617509.0	97730460.0
Q2-354_3	16227214.0	63411527.0
