Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
C-215_1	49579.441758074354	50563.24736213188	53945.06918681042	59597.33807579952	66292.53126643684	74096.47351379445	81689.58802358885	88134.76677975047	94456.8496858194	100855.30465585008	107262.56409014089	112149.6488467598	116005.11484644248	120068.17029176991	122368.63585060833	124555.55147037064	127063.15349097559	129421.28892728819	131528.51956641756	133584.9861861407	136129.48119484686	138902.7926392009	140775.2454723431	142580.9929837922	144212.91110677243	144870.80484910024	144296.1215593046	145227.4180621766	146243.99691620143	146947.23898816938	147410.6374989651	148280.12254222957	147845.48587778735	147782.4061479759	147455.93653292293	149095.92107307172	149335.3024264444	147988.67083731727	147255.68059482187	146015.4958693573	145599.75928003367	145263.3635075993	144567.29762759095	144896.73222300407	144658.4646929655	144901.03885798482	144752.72463118474	144212.4270551733	143469.112380107	143436.25952385488	142857.4798808001	143233.248832615	142236.14104191662	140691.55724316664	139115.3102109705	138053.96058949505	136358.33626958384	135345.29498825836	133930.62919083773	133173.80480292434	133406.33914910266	133229.56129714983	133126.64445653706	131882.61896777098	130444.23700287865	129576.05391019867	128792.19521896399	127682.56257010878	126123.12286487082	125071.46345506498	123911.04072880486	123182.42981933794	122009.13564832167	120960.05652400976	119833.9677866731	118383.4697942692	116768.89195904908	116280.87708455863	115023.74999361906	113406.71286285932	112813.18610222112	113153.6274302969	113133.09052815607	112505.44731314061	112378.83406194224	112985.38773195735	112553.59809811463	112161.29441680342	111658.3574966937	110840.77772257943	108480.82374369644	106253.67626291898	103143.08822724504	98330.64136058198	92306.83494746694	84055.6083924309	72000.10328798981	55830.4460880135	35224.975102034885	10946.662142647665
C-215_2	53225.21381200707	54379.35858013369	57843.850606410626	63514.5536406971	70480.28113231083	78807.14581421518	86700.27342828333	93208.86185749763	99633.7303854148	106262.59862144958	112914.9414857638	117845.72579198149	121772.50140054087	126028.91163814002	128236.12533489217	130375.8126058484	132795.79798949786	135161.69015032268	137302.75012005016	139236.49633867544	141589.88206390696	144306.2907417244	146100.65676552546	147917.64336060037	149655.21590228757	150376.8307740807	149716.2335442653	150580.47426133943	151565.79929214582	151847.6994000526	152006.2673729411	152720.9398057611	152118.83314955214	151868.16345343183	151340.67708144343	152754.3711328908	152757.94615414887	151210.93767329247	150380.32867178976	148891.71554133933	148326.74499310288	147841.29318681321	146920.66365771147	146941.6265908256	146439.9094837137	146510.53665327962	146277.59662424118	145623.84011297085	144621.17524414771	144373.14085913537	143687.5218527087	143878.21520935986	142617.11923536396	140990.31531231556	139162.43015403103	137917.38600036787	136119.76433160272	134859.5531248753	133255.12250500635	132310.62144074708	132361.45186364837	131976.0285715685	131701.94654086942	130265.20321908341	128746.48705832075	127638.35540778896	126662.14610507264	125586.44035748042	124065.50652985358	122964.42138985514	121765.52185816715	120843.51803021274	119468.3071982489	118276.264170228	117077.45122462022	115574.67555981572	113767.71450860656	113270.10115305264	112124.05101770714	110611.55231393593	109965.88497402992	110180.22517156173	110077.86307023048	109336.53801973048	109067.24760324955	109643.05109420008	109256.89105876407	108723.00028967565	108131.2730727495	107381.30585028279	104967.17302323491	102765.00586173349	99755.79559065025	94952.71583771541	89065.3215226721	81164.52800619547	69471.96934169963	53667.13313156308	33731.72245482364	10505.497895772776
C-215_3	40902.16432018776	41419.98400836895	44206.239535040106	48840.61058022063	54558.90365110176	61711.21942359141	68694.58317395295	74450.17320137222	80048.26512143131	85911.17914157407	92028.36173005328	96573.25584631888	100134.02277312022	104126.9958983166	106272.36044281707	108139.74804271461	110426.87598497151	112727.7553796154	114902.47465848751	116617.57032479688	118939.71416828196	121628.20029889833	123378.00641611607	125194.45421961938	127065.30882551936	127737.31674082058	127224.24695196234	127984.04004231517	128924.89670851771	129406.9902333023	129811.7652630492	130537.34324286602	130157.01858186637	130138.43359091405	129783.96908748838	131187.67940531633	131507.62555238314	130283.58595777598	129456.6998957851	128237.95494974151	127860.60797155373	127602.92864696242	126868.02065735594	127414.65622429101	127113.5435610804	127455.83979739348	127574.50479571882	127085.91389902598	126323.83846795943	126305.84147947202	125798.49287773657	126042.22878344049	124975.87824723161	123571.8371375858	121923.18664159531	120954.43927871324	119350.02738065828	118333.62447255607	116969.48334565194	116151.02672351815	116368.06936029819	116160.40799920975	116057.0300163947	115014.22188956144	113659.43803398765	112630.2530104394	111802.59749319642	111006.64649477428	109669.01713116658	108756.32907616923	107722.18821496316	106973.69924221822	105814.76779081493	104759.43209916292	103628.5373283957	102259.82861891064	100761.38095132263	100215.71645724741	99020.69546862585	97447.07848985537	96954.86216339294	97307.65314895354	97059.32514023069	96236.04640385433	95897.38533260988	96235.19361056089	95955.68895186663	95811.2685085271	95397.3412749988	94757.58723049513	92543.91430073616	90155.65040934649	87221.39238331988	82712.40565215623	77201.20024477714	69970.23197829144	59784.40907006148	46194.01979643468	28998.255594175433	8997.49170763407
C-354_1	53162.648514816625	54261.511174317464	57304.57924147492	62896.896014319675	70141.03415499705	78464.11234024618	87085.88344561268	93852.3614359155	99763.421672366	106063.81534031886	113413.55668979521	118547.01507505502	122496.0714228521	126547.60202348437	129690.11998165613	132416.56504160987	133877.40148384767	136332.66857809637	138396.52954642964	140265.7586801645	141596.98172694625	144598.17729555196	147196.0356539298	148749.34370672517	149903.79341781422	151023.8898523939	150450.5942202261	151185.28065569207	151443.76810292373	151754.93970970446	152363.1242099088	152699.8237702784	151838.77777488585	152020.29969360997	152185.08017778277	153711.01311545502	153707.4539774783	152273.758543918	152611.00308727493	152573.85800883168	152534.56912645348	151932.4666245186	150825.2356618259	151081.4787903891	150201.29901076423	149432.43811847924	149045.29871323463	148267.98267348946	147288.60460707376	147037.38892873406	146212.78629320595	146116.43169706792	145013.54307683403	143764.70675865654	142040.59418168827	140871.0867978772	138818.39104597	137459.73408821266	136215.24653914047	135684.82245501387	135803.18761347604	135867.67530661804	135714.46139702134	135055.0217536239	133648.61085218826	133027.95476408352	132099.0102537354	130859.09755903076	128921.94435611222	127673.24044790762	126188.2179781632	124887.7415255258	124294.18224886256	123835.29368382973	122586.80785509561	120728.93980234998	119554.21636256311	118537.17838992363	117120.30558248064	115311.33546116452	114429.41445033038	113850.59854664364	113526.76157206968	112808.57915184306	112885.27361031395	113026.63711879033	112675.91564353698	112037.02941674905	111490.97057179832	111263.7182883104	109305.71431346997	106915.43955867732	103484.72479212118	98397.50970123273	91690.19294677132	83382.052117773	72140.91003375818	56155.83414843721	35287.44321349783	11117.194761080616
C-354_2	39045.06070054513	39493.579556552555	41800.4853849079	46355.335812277255	52655.307317712315	60188.66359339651	68164.51088006813	74405.92326439015	79802.7304504655	85741.99534045876	92777.02556243843	98018.26410322805	101984.90288743931	106060.31627932952	109235.511311814	111887.08281555385	113802.66572670448	116497.31394134567	118982.71044670226	120909.89938934235	122622.2614119912	125549.35972514265	128020.80602893075	129758.19601256345	131218.4952645037	132293.17582951183	131949.70321748982	132859.50322057056	133460.77880919335	133953.38443817745	134813.07367556085	135383.30570117314	134647.22872259625	135227.09491377373	135791.30985728226	137315.79433736295	137468.8523999553	136665.3540182057	137363.06125344546	137784.73918157263	138015.5199325508	137544.46264626912	136621.04086087891	136920.04219634298	136135.31598065307	135596.16359691814	135268.86532298112	134510.79861635587	133761.03722310942	133533.68491893675	133207.02986455485	133072.03407205647	132334.72089204277	131322.19643979098	129829.03011554998	128845.73896173228	127071.36143377521	126133.48032633834	125310.51336259325	125150.89754762982	125722.26885447913	126013.45523639767	126000.74736171743	125567.60053576369	124525.4243004771	124057.75660241049	123451.91760813944	122402.96827868233	120711.77595603479	119615.55542923427	118301.0966127315	117339.41403578172	117218.725186694	116855.80462658928	115826.42853882907	114289.10863235248	113348.58421200111	112709.18995153239	111457.8645409243	109988.78194154573	109420.96163060942	109081.4068587864	108632.67157500332	107725.67782728399	107544.43186331613	107457.21301239112	106779.30794806678	106066.97689659362	105474.6439399788	105198.22049234071	103175.65866264186	100692.13011798348	97140.56108499417	92161.12267436022	85478.10566205891	77246.71383682023	66311.17041831899	50953.397839947975	31538.23072162273	9860.602604082798
C-354_3	51881.54060822391	52680.55131908424	55634.86236461511	61329.01726571624	69143.24725560265	78430.69950407239	88103.32028799316	95719.57036640981	102108.94661326088	109220.4540759184	117481.87377392162	123499.78230325985	128228.55297766293	132900.8086782687	136330.44871128173	139341.24786979484	141403.93111543905	144296.8506070713	146901.39025006446	148917.73201450787	150580.0125561818	154058.46582936053	157012.34956105365	158788.91032871458	160274.14225643018	161579.7098144138	161017.2006750303	161947.49250176945	162472.2940477612	162853.34089354367	163600.26771632693	164096.6614974328	163332.89433808022	163810.2043957974	164260.42124496645	166141.35674457264	166035.66183603354	164606.94082216112	164911.43268481703	164822.12818022096	164741.49985675173	164042.31595826993	162909.1336150106	163368.21794097422	162451.35793736042	161839.4089531373	161468.03926407985	160504.46212425976	159353.8133096523	159052.81437609854	158093.67478911064	157816.42512411813	156601.31082859967	155012.78398614048	153034.56069743715	151759.50191226957	149380.4936877738	147914.08638437453	146707.96060673657	146144.68178508765	146345.6581603426	146328.0296655997	146056.37133669332	145390.53754175952	143940.79029857868	143234.55986645631	142358.42944748787	141134.63501385436	138931.7510028737	137641.92997955982	135867.45247863815	134399.79628402635	133784.27206620036	133072.5888544942	131766.16677786518	129834.47847583468	128600.8086600746	127667.80722212368	125982.62059235168	123924.42565477846	123110.35281738418	122693.59669938135	122072.17095698549	121081.77266920959	121051.56313952318	121218.80501147677	120767.06273506026	119929.71663459917	119279.86908655574	118938.2042639578	116644.1304137081	113803.58216117196	109760.0017043675	104252.62506179635	97138.77096512883	88368.2398045357	76382.52140361784	59371.128948133075	37238.047953421505	11746.972094410929
P29-215_1	37299.96639792073	37991.05482108926	40698.42432363537	45282.75770322068	50747.56098208538	57099.81353077575	63280.22837247378	68396.00768100104	73296.63429834275	78229.50809314598	83462.37446657565	87450.79524846438	90621.45495353035	93956.72003826931	95916.93247305945	97706.55802018111	99791.80229371076	101832.38658078875	103567.27571713518	105132.7751428818	107222.32116406583	109520.05881204364	111001.03260788099	112447.14673099515	113944.67193709497	114573.0316608188	114250.06320235317	115044.08602823257	115913.94715128593	116407.2792704143	116693.07770047222	117417.72854211791	117065.10412368926	116988.27072034872	116686.11996002613	117918.40958040269	118212.57025147679	117256.0838312901	116758.41998440425	115702.40089688764	115402.52685860448	115072.3704580305	114421.31589527846	114717.62985643139	114539.7071436278	114766.00258605713	114768.18298728619	114268.76212530899	113552.16791440753	113484.64469300253	113022.37732658017	113211.45040913745	112220.71793534693	110935.1756187848	109677.52337096764	108842.2268189139	107438.81455289946	106536.53839790789	105385.36927851499	104697.08046651607	104752.64111639094	104561.55376654143	104477.73462453364	103643.47591321282	102583.24059381631	101833.376146266	101176.90444888099	100313.20300739519	99056.19445789217	98219.9009690435	97250.00946934114	96629.58376018771	95695.4739835915	94813.33483531256	93842.39753231588	92617.67146659656	91323.43140189882	90835.16853013434	89753.86434908383	88391.94658816583	87843.41721972263	88105.16534163839	88029.06376459672	87470.8909377615	87361.94025738942	87843.66067348754	87547.62792876434	87310.82143173699	87018.20000883217	86405.20336860778	84566.36671316942	82744.80183305909	80412.96209381783	76652.68547669343	72003.58836257427	65587.9427296124	56298.695798400186	43804.002578385574	27668.91323233364	8577.927844520833
P29-215_2	48120.62840541265	48845.75956182739	51890.38930863209	57095.25464894854	63714.031027041834	71894.36822542215	79703.95108935215	86097.96261293512	92351.64752125388	98892.14407846674	105579.14479586518	110644.39269179617	114673.69453478153	119010.04068907088	121419.5792172149	123581.24030808499	126094.40148522377	128493.27213877604	130696.04624825028	132603.05074510231	135077.71236107495	137831.46354749944	139747.29888151138	141689.03889107093	143491.21809805473	144162.28296502552	143589.8029564646	144438.16157709085	145323.44852772146	145700.52286448327	146164.33350819134	147056.63522561704	146529.7517081714	146497.39063851867	146193.10199166977	147863.75106463433	148033.1839846946	146612.79973188927	145721.2643739303	144323.4856546993	143787.60436027616	143367.00809096798	142603.84522826684	142905.5367031661	142425.46595653932	142569.61932241172	142398.00677478916	141678.18616306563	140740.0577666353	140551.5840947007	140040.6710534719	140327.75645334393	139278.29297176527	137756.32056227172	135903.27935976107	134772.31511445294	133094.63768603597	132001.80251038677	130596.01120709791	129793.71556761727	130058.6805438374	129854.42190635609	129697.1623146169	128461.44122007913	127054.36156612278	126047.20867867659	125138.182753882	124109.34839495829	122506.69772681141	121489.57087203104	120357.45338554462	119656.4008488648	118643.2780013105	117584.86547386419	116368.15175456647	114773.98341342193	113041.10799822341	112619.55305205855	111498.61648877285	109903.52224164855	109210.77073811309	109492.33915187116	109349.29712159111	108498.1281506099	108173.93669480848	108653.20982558854	108234.85158144671	107814.4780075136	107275.71593448342	106457.11566602337	104011.86840326761	101615.39060577843	98383.8430327113	93419.60911913787	87260.82262409451	79140.48209050416	67508.92379968261	52084.606602020016	32742.148511624244	10196.097611792164
P29-215_3	45860.67082393575	46516.28743000759	49498.87758217609	54638.55540372168	61004.97368264462	68730.55083127086	76305.07508928273	82467.63556242596	88633.23546028789	94922.82169314103	101375.4769073539	106210.08732899265	110001.54181733645	114083.85529034618	116445.06310181781	118500.1303612229	120904.4036878618	123180.63014271166	125343.9371309946	127305.96576217229	129590.90154543934	132258.93005774583	134062.0159385097	135914.06825546778	137617.92271208006	138281.54012529625	137789.6895745291	138657.60212474168	139642.69605676367	140112.82499179963	140489.01174651552	141314.69705045622	140963.60525690272	140937.8989362912	140571.85192287416	141975.70353374834	142268.78184781058	140871.24055361797	140030.69010177464	138700.03789126338	138224.91605643847	137814.89518659902	137082.0184764054	137379.879675786	137109.935312533	137240.71353768048	137057.92903907347	136460.9363596607	135612.38785863118	135464.6483482998	134966.9121135663	135284.8653319411	134250.03403079964	132802.57755804277	131116.27408182362	129959.2975977548	128218.00511290456	127190.30380676175	125772.31475681358	125038.43195885175	125277.63918661159	125008.90747325236	124840.65483741256	123576.16736669271	122139.84895671533	121222.07196388446	120402.85142726885	119482.32420512772	118072.77259644843	117089.2619543449	115916.65074282419	115174.87928729126	114039.58349227003	113017.41055266964	111846.74199220401	110499.87060703654	108991.4536366586	108502.61238998608	107382.6950831875	105768.12745584454	105168.59130923459	105512.16561085264	105324.86683726395	104640.12203378648	104344.11898969601	104763.72442907274	104317.18930238264	103818.00949124234	103233.8946695536	102507.62446018952	100198.84549162605	98017.81761406867	95077.66595017786	90455.84271354706	84597.07621559974	76899.13846203765	65666.96585769203	50693.25951903665	31876.46393286543	9934.740923513658
P29-354_1	54094.87990555333	54644.743059929664	57378.2631180682	63229.37787636981	71186.05656810607	80577.8211063501	90440.56152357186	98176.0477370351	104807.15881357774	111893.98142490233	120266.51130528616	126238.90307423726	130944.27309583362	135591.301910018	139100.26193576527	142113.1359489706	144067.15797978625	147098.74725137927	149787.5825619662	152018.98592038453	153843.20088296232	157316.62645629118	160382.2642779775	162224.63053517652	163640.1628094226	164982.331529802	164428.66236789917	165507.5139832086	166070.6117644997	166446.00010102396	167243.28339935112	167711.73286724446	166782.59106693146	167249.97252630393	167619.5943221887	169512.10806823004	169334.80308431786	167883.90543971478	168298.58358562033	168302.79130807612	168181.92517522513	167445.7621720582	166279.45885189713	166482.37597828644	165356.65698491925	164601.25093820988	164182.7301783555	163331.58849501802	162184.28631423478	161944.39243555092	160978.73889993769	160874.6017789263	159665.54437351623	158143.612374381	156136.67002098827	154819.14189887515	152444.48612490675	150825.6217713639	149368.0287657466	148766.6607915184	149135.76017247763	149261.1319363046	149060.76651894097	148201.40096111383	146588.91401188046	145757.2954267507	144815.07142173592	143398.92909554616	141120.7099776653	139801.22539190485	137977.96139512528	136473.46829554238	135701.84367049154	134926.9346596524	133609.13508717425	131526.9325407726	130163.89990553855	129333.94680648876	127631.76236049617	125695.35029096098	124930.48894491297	124442.01571754979	124022.54510730771	123254.43685667973	123261.14394132758	123393.5536194293	122902.12697935001	122240.80619047952	121543.74533337163	121167.4746759882	118829.3009110893	116079.15625146999	112209.76323781251	106629.77770172563	99230.86410750051	90243.80986204471	78003.37247603878	60596.67128116965	38064.92689817143	11994.165866727371
