Sample	Exonic	Intronic	Intergenic
C-215_1	81321850.0	8674664.0	3980829.0
C-215_2	80844127.0	7812581.0	3939255.0
C-215_3	68365463.0	9544594.0	4961097.0
C-354_1	83882118.0	9857971.0	4020007.0
C-354_2	75809421.0	6971018.0	3486167.0
C-354_3	89154547.0	9375731.0	5081799.0
P29-215_1	64310912.0	7140649.0	3418198.0
P29-215_2	77751383.0	7988303.0	5398239.0
P29-215_3	75201028.0	10135118.0	5914537.0
P29-354_1	90364038.0	7798404.0	3437601.0
P29-354_2	73484778.0	7035045.0	3656122.0
P29-354_3	63597020.0	6655633.0	3133843.0
Q2-215_1	75078971.0	10510394.0	4771840.0
Q2-215_2	75997252.0	7910307.0	3954074.0
Q2-215_3	81884618.0	9742781.0	6130086.0
Q2-354_1	66645058.0	5657330.0	3075883.0
Q2-354_2	80169716.0	6934590.0	5107968.0
Q2-354_3	58824184.0	8647613.0	4804550.0
