Sample	Sense	Antisense	Undetermined
C-215_1	6.260000000000001	91.35	2.39
C-215_2	6.069999999999999	91.33	2.6
C-215_3	5.24	92.58999999999999	2.17
C-354_1	3.74	93.63	2.63
C-354_2	2.79	93.58999999999999	3.61
C-354_3	3.08	94.39	2.53
P29-215_1	5.82	91.9	2.2800000000000002
P29-215_2	5.64	91.61	2.75
P29-215_3	5.65	92.10000000000001	2.25
P29-354_1	3.34	93.02	3.65
P29-354_2	3.2199999999999998	92.91	3.8699999999999997
P29-354_3	2.32	93.76	3.93
Q2-215_1	5.029999999999999	92.45	2.52
Q2-215_2	4.96	92.43	2.6100000000000003
Q2-215_3	5.42	92.0	2.58
Q2-354_1	3.09	92.89	4.02
Q2-354_2	3.94	93.30000000000001	2.76
Q2-354_3	3.38	94.13	2.5
