Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
C-215_1	4470534.0	116564.0	61977.0
C-215_2	4321838.0	109742.0	54410.0
C-215_3	3898465.0	103326.0	55910.0
C-354_1	4191932.0	90070.0	44614.0
C-354_2	4152454.0	90776.0	44631.0
C-354_3	4152543.0	92928.0	45664.0
P29-215_1	4332189.0	112220.0	59084.0
P29-215_2	3991100.0	100444.0	51201.0
P29-215_3	4064507.0	107355.0	57533.0
P29-354_1	4295429.0	94650.0	44467.0
P29-354_2	3925934.0	84224.0	40458.0
P29-354_3	3222828.0	59099.0	28969.0
Q2-215_1	3679928.0	119793.0	65386.0
Q2-215_2	3943012.0	120049.0	56673.0
Q2-215_3	3957037.0	128739.0	66425.0
Q2-354_1	3813828.0	109113.0	51635.0
Q2-354_2	2194143.0	44654.0	21745.0
Q2-354_3	3644149.0	97858.0	51567.0
