Sample	Chromosome X	Chromosome Y
C-215_1	3616343.0	17299.0
C-215_2	3524402.0	16903.0
C-215_3	3126917.0	16347.0
C-354_1	2479818.0	25941.0
C-354_2	2189901.0	26251.0
C-354_3	2617984.0	27906.0
P29-215_1	2870240.0	14564.0
P29-215_2	3399022.0	15862.0
P29-215_3	3398597.0	16320.0
P29-354_1	2587035.0	27326.0
P29-354_2	2124327.0	22978.0
P29-354_3	1890475.0	22584.0
Q2-215_1	3372870.0	30105.0
Q2-215_2	3247086.0	13632.0
Q2-215_3	3557396.0	17845.0
Q2-354_1	1761108.0	16003.0
Q2-354_2	2095836.0	20096.0
Q2-354_3	1650008.0	18996.0
