Sample	Mapped (with MQ>0)	MQ0
C-215_1	100091065.0	2680865.0
C-215_2	98822095.0	2960126.0
C-215_3	88674994.0	4475818.0
C-354_1	104446659.0	3555917.0
C-354_2	92192391.0	2786525.0
C-354_3	110812587.0	3175059.0
P29-215_1	79636683.0	3147860.0
P29-215_2	97505919.0	2886740.0
P29-215_3	97544177.0	3316946.0
P29-354_1	108583898.0	3732348.0
P29-354_2	90076190.0	3391195.0
P29-354_3	78582374.0	2064734.0
Q2-215_1	96338639.0	5122240.0
Q2-215_2	94099146.0	3584257.0
Q2-215_3	104776828.0	4518060.0
Q2-354_1	81073928.0	3769849.0
Q2-354_2	100709961.0	3638008.0
Q2-354_3	77257809.0	2380932.0
