Sample	Custom content: DupRadar_mqc-generalstats-custom_content_dupradar-dupRadar_intercept	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
C-215_1	0.174851558470156	0.835341	1.31	102771930.0	0.00207938	24632712.0	102771930.0	100.0	0.0	2.6085576090669895	102771930.0	127404642	127404642	100.0	90.93	94843283.0	76.50978755297638	51.0	97.90002630176947	100	18.181818181818183	105433971.0	0.8623754269198245	75.58599601222656	51.0	98.05468933663487	100	18.181818181818183	104300808.0
C-215_2	0.26414825746382	0.852414	1.31	101782221.0	0.002050724	26645098.0	101782221.0	100.0	0.0	2.9082937775547264	101782221.0	128427319	128427319	100.0	90.28	93477377.0	78.23006334143042	52.0	98.08406577484149	100	18.181818181818183	104293311.0	0.7249757847950472	77.40017224686675	52.0	98.01931896394021	100	18.181818181818183	103544062.0
C-215_3	0.177545475870809	0.824854	1.39	93150812.0	0.00202549	36518085.0	93150812.0	100.0	0.0	4.804915710235569	93150812.0	129668897	129668897	100.0	88.38	83639885.0	76.32598055682939	51.0	98.19328649268364	100	18.181818181818183	95534684.0	0.8358609425359755	75.54506116060168	51.0	98.24362499273641	100	18.181818181818183	94632951.0
C-354_1	0.233902474595369	0.851124	1.33	108002576.0	0.002093049	31330074.0	108002576.0	100.0	0.0	3.292437210016176	108002576.0	139332650	139332650	100.0	89.95	98671980.0	78.31433872868105	52.0	97.42863259528725	100	27.27272727272727	111311705.0	0.9908336127464725	77.26819514248683	52.0	97.83221639713133	100	18.181818181818183	109695761.0
C-354_2	0.115066772081488	0.834544	1.3	94978916.0	0.001971494	25314764.0	94978916.0	100.0	0.0	2.9338353366761947	94978916.0	120293680	120293680	100.0	90.53	87088677.0	76.30572619935064	50.0	98.60197731440194	100	18.181818181818183	96818695.0	0.6576180274011781	75.73346497626426	50.0	98.52350786108103	100	18.181818181818183	96203308.0
C-354_3	0.2498361314153	0.861963	1.37	113987646.0	0.002001021	29356949.0	113987646.0	100.0	0.0	2.7854413275628134	113987646.0	143344595	143344595	100.0	90.04	104600193.0	79.71192304612816	51.0	98.16632445015513	100	18.181818181818183	117361374.0	0.812774469359939	79.00226447642552	51.0	98.31135210976946	100	18.181818181818183	116170679.0
P29-215_1	0.0721000706900634	0.795174	1.3	82784543.0	0.002002522	26247649.0	82784543.0	100.0	0.0	3.8024731259312503	82784543.0	109032192	109032192	100.0	90.3	75546841.0	71.89837086637677	51.0	98.8739820012674	100	18.181818181818183	83958356.0	0.5705416941002718	71.4303656345303	51.0	98.59482438185965	100	18.181818181818183	83663282.0
P29-215_2	0.330987263533416	0.85962	1.32	100392659.0	0.002111905	26269005.0	100392659.0	100.0	0.0	2.875449289574051	100392659.0	126661664	126661664	100.0	89.45	91987408.0	79.5493299271613	51.0	97.6013824304553	100	27.27272727272727	104477733.0	1.0778496917908766	78.71539361692007	51.0	98.03697323735588	100	18.181818181818183	102836924.0
P29-215_3	0.261581958192493	0.840976	1.3	100861123.0	0.002061766	29193708.0	100861123.0	100.0	0.0	3.2886268775730363	100861123.0	130054831	130054831	100.0	89.33	92076267.0	77.55188072931334	51.0	97.96235649258642	100	18.181818181818183	104141571.0	0.8292032192577651	76.68024803694865	51.0	98.09973667866167	100	18.181818181818183	103075961.0
P29-354_1	0.22362326732754	0.865877	1.36	112316246.0	0.002009828	32789004.0	112316246.0	100.0	0.0	3.3230704665823683	112316246.0	145105250	145105250	100.0	89.84	102593312.0	79.89680489521936	52.0	98.12083896404106	100	27.27272727272727	115687056.0	0.9208650111362293	79.16421824539114	52.0	98.43400930793858	100	18.181818181818183	114193491.0
