Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
C-215_1	Unknown Library	102771930.0	0.0	24632712.0	0.0	85849573.0	0.0	0.0	0.835341	
C-215_2	Unknown Library	101782221.0	0.0	26645098.0	0.0	86760620.0	0.0	0.0	0.852414	
C-215_3	Unknown Library	93150812.0	0.0	36518085.0	0.0	76835786.0	0.0	0.0	0.824854	
C-354_1	Unknown Library	108002576.0	0.0	31330074.0	0.0	91923604.0	0.0	0.0	0.851124	
C-354_2	Unknown Library	94978916.0	0.0	25314764.0	0.0	79264092.0	0.0	0.0	0.834544	
C-354_3	Unknown Library	113987646.0	0.0	29356949.0	0.0	98253090.0	0.0	0.0	0.861963	
P29-215_1	Unknown Library	82784543.0	0.0	26247649.0	0.0	65828097.0	0.0	0.0	0.795174	
P29-215_2	Unknown Library	100392659.0	0.0	26269005.0	0.0	86299561.0	0.0	0.0	0.85962	
P29-215_3	Unknown Library	100861123.0	0.0	29193708.0	0.0	84821820.0	0.0	0.0	0.840976	
P29-354_1	Unknown Library	112316246.0	0.0	32789004.0	0.0	97252095.0	0.0	0.0	0.865877	
P29-354_2	Unknown Library	93467385.0	0.0	29303147.0	0.0	79491550.0	0.0	0.0	0.850474	
P29-354_3	Unknown Library	80647108.0	0.0	19589849.0	0.0	69337144.0	0.0	0.0	0.85976	
Q2-215_1	Unknown Library	101460879.0	0.0	41146351.0	0.0	86892972.0	0.0	0.0	0.856418	
Q2-215_2	Unknown Library	97683403.0	0.0	31006375.0	0.0	83802361.0	0.0	0.0	0.857898	
Q2-215_3	Unknown Library	109294888.0	0.0	38280842.0	0.0	94700620.0	0.0	0.0	0.866469	
Q2-354_1	Unknown Library	84843777.0	0.0	32024889.0	0.0	71370786.0	0.0	0.0	0.841202	
Q2-354_2	Unknown Library	104347969.0	0.0	34223243.0	0.0	97730460.0	0.0	0.0	0.936582	
Q2-354_3	Unknown Library	79638741.0	0.0	21736290.0	0.0	63411527.0	0.0	0.0	0.79624	
