Sample	se_sense	se_antisense	failed
C-215_1	0.0626	0.9135	0.0239
C-215_2	0.0607	0.9133	0.026
C-215_3	0.0524	0.9259	0.0217
C-354_1	0.0374	0.9363	0.0263
C-354_2	0.0279	0.9359	0.0361
C-354_3	0.0308	0.9439	0.0253
P29-215_1	0.0582	0.919	0.0228
P29-215_2	0.0564	0.9161	0.0275
P29-215_3	0.0565	0.921	0.0225
P29-354_1	0.0334	0.9302	0.0365
P29-354_2	0.0322	0.9291	0.0387
P29-354_3	0.0232	0.9376	0.0393
Q2-215_1	0.0503	0.9245	0.0252
Q2-215_2	0.0496	0.9243	0.0261
Q2-215_3	0.0542	0.92	0.0258
Q2-354_1	0.0309	0.9289	0.0402
Q2-354_2	0.0394	0.933	0.0276
Q2-354_3	0.0338	0.9413	0.025
