Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
C-215_1	4651473	4470534	116564	61977	250273	170267	52085	27921	96.11007093881874	2.505958865073494	1.3324166344725639	68.03250850071721	20.811274088695146	11.156217410587638
C-215_2	4487831	4321838	109742	54410	240763	166953	49415	24395	96.30126446383565	2.44532381009891	1.2123896822317952	69.34329610446788	20.524333057820346	10.132370837711775
C-215_3	4059963	3898465	103326	55910	240202	166227	47953	26022	96.02218049770404	2.544998562794784	1.3771061460412324	69.2030041381837	19.963613958251806	10.8333819035645
C-354_1	4328694	4191932	90070	44614	224571	161747	42077	20747	96.84057131319516	2.080766161803075	1.0306572836980392	72.02488299914059	18.73661336503823	9.238503635821187
C-354_2	4290109	4152454	90776	44631	225400	161606	42717	21077	96.7913402666459	2.1159369144233864	1.04032321789493	71.69742679680567	18.95164152617569	9.350931677018634
C-354_3	4293103	4152543	92928	45664	226130	161863	43160	21107	96.72591130471363	2.1645881778284846	1.0636595488158564	71.57962234113121	19.086366249502497	9.334011409366294
P29-215_1	4505837	4332189	112220	59084	247724	169436	51491	26797	96.14615442147596	2.49054726125246	1.3112769059333482	68.39708708078345	20.78563239734543	10.817280521871114
P29-215_2	4144458	3991100	100444	51201	235029	164702	46584	23743	96.2996850251589	2.4235738424662525	1.235408827885335	70.0773096086015	19.820532785315855	10.102157606082654
P29-215_3	4231600	4064507	107355	57533	242316	166802	49227	26287	96.05130447112204	2.536983646847528	1.3596039323187445	68.83656052427409	20.315208240479375	10.848231235246537
P29-354_1	4436529	4295429	94650	44467	226746	162647	43395	20704	96.81958576175204	2.133424575833946	1.0022925579884636	71.73092358850873	19.138154587070996	9.130921824420277
P29-354_2	4052410	3925934	84224	40458	217863	158988	39756	19119	96.87899299429229	2.0783681809096315	0.9983688718565001	72.97613637928423	18.24816513129811	8.775698489417662
P29-354_3	3312232	3222828	59099	28969	197121	151483	30567	15071	97.300792939625	1.7842651118641448	0.8746066096819305	76.8477229721846	15.506719223218226	7.645557804597177
Q2-215_1	3866931	3679928	119793	65386	265129	173338	58069	33722	95.16404611305451	3.097883049891503	1.6909016478442465	65.3787401604502	21.902168378412018	12.719091461137785
Q2-215_2	4121285	3943012	120049	56673	255113	171111	56336	27666	95.67433458253919	2.91290216522274	1.3751293589256748	67.07263055979115	22.08276332448758	10.844606115721268
Q2-215_3	4154377	3957037	128739	66425	265862	172978	59606	33278	95.24982927644746	3.0988761973215238	1.5989160348230311	65.06307783737427	22.4199020544493	12.517020108176421
Q2-354_1	3976334	3813828	109113	51635	242724	167248	50050	25426	95.91317027191377	2.7440602323647862	1.2985579179213818	68.9045994627643	20.620128211466522	10.475272325769186
Q2-354_2	2261311	2194143	44654	21745	178660	142732	23889	12039	97.02968764579485	1.9746952099910187	0.9616103225076074	79.89029441397068	13.371207880891077	6.738497705138251
Q2-354_3	3796011	3644149	97858	51567	238162	165720	46658	25784	95.99943203536554	2.577916660410099	1.358452333251932	69.58288895793619	19.59086672097144	10.826244321092366
