Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
C-215_1	102771930.0	0.0	102771930.0	1.0	102771930.0	0.0	102771930.0	0.0	0.0	0.0	0.0	85849573.0	2680865.0	0.0	24632712.0	0.0	10153899001.0	10153899001.0	0.0	10153899001.0	10124164281.0	0.0	8476102928.0	21051990.0	0.00207938	98.0	99.0	0.0	101.0	101.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	83.53406713292239	2.6085576090669895	0.0
C-215_2	101782221.0	0.0	101782221.0	1.0	101782221.0	0.0	101782221.0	0.0	0.0	0.0	0.0	86760620.0	2960126.0	0.0	26645098.0	0.0	10051988939.0	10051988939.0	0.0	10051988939.0	10022505258.0	0.0	8563720405.0	20553387.0	0.002050724	98.0	99.0	0.0	101.0	101.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	85.24142934550426	2.9082937775547264	0.0
C-215_3	93150812.0	0.0	93150812.0	1.0	93150812.0	0.0	93150812.0	0.0	0.0	0.0	0.0	76835786.0	4475818.0	0.0	36518085.0	0.0	9222634460.0	9222634460.0	0.0	9222634460.0	9197491745.0	0.0	7603624622.0	18629432.0	0.00202549	99.0	99.0	0.0	101.0	101.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	82.48536362731868	4.804915710235569	0.0
C-354_1	108002576.0	0.0	108002576.0	1.0	108002576.0	0.0	108002576.0	0.0	0.0	0.0	0.0	91923604.0	3555917.0	0.0	31330074.0	0.0	10645843257.0	10645843257.0	0.0	10645843257.0	10612700398.0	0.0	9054387875.0	22212901.0	0.002093049	98.0	99.0	0.0	101.0	101.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	85.11241805936184	3.292437210016176	0.0
C-354_2	94978916.0	0.0	94978916.0	1.0	94978916.0	0.0	94978916.0	0.0	0.0	0.0	0.0	79264092.0	2786525.0	0.0	25314764.0	0.0	9430009063.0	9430009063.0	0.0	9430009063.0	9403097321.0	0.0	7866886212.0	18538152.0	0.001971494	99.0	99.0	0.0	101.0	101.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	83.4544079235438	2.9338353366761947	0.0
C-354_3	113987646.0	0.0	113987646.0	1.0	113987646.0	0.0	113987646.0	0.0	0.0	0.0	0.0	98253090.0	3175059.0	0.0	29356949.0	0.0	11291744613.0	11291744613.0	0.0	11291744613.0	11261877579.0	0.0	9729687767.0	22535257.0	0.002001021	99.0	99.0	0.0	101.0	101.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	86.19626200544575	2.7854413275628134	0.0
P29-215_1	82784543.0	0.0	82784543.0	1.0	82784543.0	0.0	82784543.0	0.0	0.0	0.0	0.0	65828097.0	3147860.0	0.0	26247649.0	0.0	8225407175.0	8225407175.0	0.0	8225407175.0	8204940051.0	0.0	6537312713.0	16430570.0	0.002002522	99.0	99.0	0.0	101.0	101.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	79.51737681272215	3.8024731259312503	0.0
P29-215_2	100392659.0	0.0	100392659.0	1.0	100392659.0	0.0	100392659.0	0.0	0.0	0.0	0.0	86299561.0	2886740.0	0.0	26269005.0	0.0	9916317159.0	9916317159.0	0.0	9916317159.0	9886837016.0	0.0	8520680612.0	20880065.0	0.002111905	98.0	99.0	0.0	101.0	101.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	85.96202337862174	2.875449289574051	0.0
P29-215_3	100861123.0	0.0	100861123.0	1.0	100861123.0	0.0	100861123.0	0.0	0.0	0.0	0.0	84821820.0	3316946.0	0.0	29193708.0	0.0	9969073939.0	9969073939.0	0.0	9969073939.0	9939373880.0	0.0	8379667552.0	20492666.0	0.002061766	98.0	99.0	0.0	101.0	101.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	84.09763591468241	3.2886268775730363	0.0
P29-354_1	112316246.0	0.0	112316246.0	1.0	112316246.0	0.0	112316246.0	0.0	0.0	0.0	0.0	97252095.0	3732348.0	0.0	32789004.0	0.0	11139963817.0	11139963817.0	0.0	11139963817.0	11110413723.0	0.0	9643422992.0	22330017.0	0.002009828	99.0	99.0	0.0	101.0	101.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	86.58773638143141	3.3230704665823683	0.0
