Sample	x	y
C.215_1	-142.274360685534	-26.3246652325504
C.215_2	-141.856150756033	-27.496504287419
C.215_3	-143.915363300603	-19.8853777947026
C.354_1	128.781701108253	-41.2733354065197
C.354_2	132.476081866885	-39.3314243724099
C.354_3	130.389959998839	-40.796076823047
P29.215_1	-140.608167331309	-23.5869121002696
P29.215_2	-141.81935239694	-22.5102208117839
P29.215_3	-144.796229802527	-23.0759964746404
P29.354_1	130.31830470575	-38.2868701329692
P29.354_2	131.747716269944	-35.5427674539473
P29.354_3	132.17851406781	-40.4932744458372
Q2.215_1	-111.960850109789	61.572266035943
Q2.215_2	-120.996521855571	37.4833313839527
Q2.215_3	-114.181369059716	66.7827722169187
Q2.354_1	137.308252769803	67.7759328090613
Q2.354_2	141.209669861819	78.3678551883791
Q2.354_3	137.99816464892	66.6212677018413
