Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
C-215_1	C-215_1.markdup.sorted.bam	102771930.0	127404642.0	32550532.0	81321850.0	865489.0	0.0	1.31	81321850.0	8674664.0	3980829.0	4297110.0
C-215_2	C-215_2.markdup.sorted.bam	101782221.0	128427319.0	34939454.0	80844127.0	880913.0	0.0	1.31	80844127.0	7812581.0	3939255.0	4363609.0
C-215_3	C-215_3.markdup.sorted.bam	93150812.0	129668897.0	46018372.0	68365463.0	768182.0	0.0	1.39	68365463.0	9544594.0	4961097.0	3505185.0
C-354_1	C-354_1.markdup.sorted.bam	108002576.0	139332650.0	40652178.0	83882118.0	911664.0	0.0	1.33	83882118.0	9857971.0	4020007.0	4683297.0
C-354_2	C-354_2.markdup.sorted.bam	94978916.0	120293680.0	33197657.0	75809421.0	821740.0	0.0	1.3	75809421.0	6971018.0	3486167.0	3416103.0
C-354_3	C-354_3.markdup.sorted.bam	113987646.0	143344595.0	38736026.0	89154547.0	987904.0	0.0	1.37	89154547.0	9375731.0	5081799.0	4443910.0
P29-215_1	P29-215_1.markdup.sorted.bam	82784543.0	109032192.0	33475271.0	64310912.0	676429.0	0.0	1.3	64310912.0	7140649.0	3418198.0	3001102.0
P29-215_2	P29-215_2.markdup.sorted.bam	100392659.0	126661664.0	34664694.0	77751383.0	849203.0	0.0	1.32	77751383.0	7988303.0	5398239.0	4269644.0
P29-215_3	P29-215_3.markdup.sorted.bam	100861123.0	130054831.0	37966742.0	75201028.0	825207.0	0.0	1.3	75201028.0	10135118.0	5914537.0	4345395.0
P29-354_1	P29-354_1.markdup.sorted.bam	112316246.0	145105250.0	42504036.0	90364038.0	992941.0	0.0	1.36	90364038.0	7798404.0	3437601.0	4311822.0
P29-354_2	P29-354_2.markdup.sorted.bam	93467385.0	122770532.0	37761461.0	73484778.0	826595.0	0.0	1.36	73484778.0	7035045.0	3656122.0	3684838.0
P29-354_3	P29-354_3.markdup.sorted.bam	80647108.0	100236957.0	26127677.0	63597020.0	715797.0	0.0	1.41	63597020.0	6655633.0	3133843.0	3198781.0
Q2-215_1	Q2-215_1.markdup.sorted.bam	101460879.0	142607230.0	51477089.0	75078971.0	745769.0	0.0	1.42	75078971.0	10510394.0	4771840.0	4536540.0
Q2-215_2	Q2-215_2.markdup.sorted.bam	97683403.0	128689778.0	40013050.0	75997252.0	807144.0	0.0	1.4	75997252.0	7910307.0	3954074.0	4150752.0
Q2-215_3	Q2-215_3.markdup.sorted.bam	109294888.0	147575730.0	48957364.0	81884618.0	847866.0	0.0	1.36	81884618.0	9742781.0	6130086.0	4711150.0
Q2-354_1	Q2-354_1.markdup.sorted.bam	84843777.0	116868666.0	40737573.0	66645058.0	748173.0	0.0	1.44	66645058.0	5657330.0	3075883.0	3116003.0
Q2-354_2	Q2-354_2.markdup.sorted.bam	104347969.0	138571212.0	45275896.0	80169716.0	1077230.0	0.0	1.41	80169716.0	6934590.0	5107968.0	4879964.0
Q2-354_3	Q2-354_3.markdup.sorted.bam	79638741.0	101375031.0	28464258.0	58824184.0	627105.0	0.0	1.37	58824184.0	8647613.0	4804550.0	2964659.0
