Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
C-215_1 - Adapter 1	10137598	3029260	1073990	31162	60643	3353	8167	1662	6681	7747	7845	754	2559	795	3431	2210	1692	2092	1589	1513	1648	1397	2131	1338	1355	975	1179	1072	1090	1112	1221	1134	1468	972	769	369	442	519	607	637	601	790	900	578	553	584	555	559	526	482	701	593	486	577	606	475	355	870	408	358	428	421	420	406	546	411	410	595	450	445	395	619	304	314	768	280	564	502	361	564	437	440	540	436	492	430	494	554	466	504	483	367	474	486	358	541	363	863	550	1170	12212
C-215_2 - Adapter 1	10151375	3015551	1073397	31173	59302	3240	7963	1638	6472	7606	7607	761	2313	806	3165	2161	1535	2007	1478	1337	1567	1482	2246	1400	1391	1037	1317	1100	960	1068	1298	1154	911	767	1006	779	981	850	666	547	351	664	907	601	597	610	528	595	605	496	579	551	452	532	560	467	363	840	410	357	345	349	395	417	519	401	413	563	445	427	368	593	269	286	827	248	515	441	373	517	434	438	552	431	402	475	494	505	440	453	449	336	402	424	314	514	360	905	616	1166	18124
C-215_3 - Adapter 1	9345190	2774429	964198	28350	54975	2810	7280	1478	5931	6341	7993	673	1932	638	2604	1804	1293	1543	1210	1245	1370	1138	1642	1091	1167	877	1035	1093	1019	2108	1070	1003	832	587	677	574	643	592	513	603	585	826	716	516	608	648	589	581	642	455	569	555	385	456	456	454	311	810	470	421	384	473	431	437	505	363	408	526	388	355	347	540	279	304	820	252	491	431	393	503	406	348	444	444	372	413	463	479	424	395	461	336	528	405	362	498	350	862	627	1445	32544
C-354_1 - Adapter 1	10507880	3090783	1111253	36163	59262	3575	9069	1730	6811	7690	10224	809	2832	674	3885	2345	2184	2665	1721	1583	1800	1412	2618	1716	1658	1112	1496	1121	1353	1517	1115	1010	1095	855	1035	746	765	687	621	813	661	612	693	623	656	642	600	503	529	456	507	515	406	505	543	458	396	592	374	352	336	458	368	326	455	310	374	495	435	302	376	501	293	318	549	240	430	386	338	514	423	353	321	346	379	437	313	534	371	397	441	331	395	357	336	471	360	696	487	1083	17447
C-354_2 - Adapter 1	9272753	2761282	982350	31707	52061	2563	7081	1356	5067	5698	8561	618	1417	497	1922	1294	1111	1236	884	945	1018	894	1314	852	791	583	763	735	628	677	624	596	600	480	732	435	536	519	428	529	451	469	557	427	412	467	414	444	412	504	343	483	408	437	416	383	367	485	416	348	353	608	409	370	472	359	344	487	362	350	427	455	273	344	508	188	438	444	333	502	499	393	376	400	364	423	398	682	439	438	535	319	410	367	342	494	305	817	512	962	7259
C-354_3 - Adapter 1	11280142	3325077	1195445	39463	63039	3263	9284	1771	6366	7330	9743	808	2144	665	2796	1879	1572	1866	1276	1194	1464	1217	1794	1269	1281	846	1066	924	971	820	923	995	875	619	609	523	534	692	511	634	556	599	727	554	593	629	568	529	515	495	511	579	480	523	534	451	356	624	391	406	391	526	392	422	471	423	347	541	439	299	400	470	281	304	664	235	482	501	377	615	438	446	384	481	405	487	440	626	424	518	519	310	397	370	395	418	335	939	596	1238	15460
P29-215_1 - Adapter 1	8463231	2527781	892450	24365	49360	2397	6441	1272	4509	4903	6003	556	1281	560	1589	1400	895	1103	919	836	989	914	1257	721	826	587	631	894	837	2262	686	630	631	511	617	363	513	401	355	470	342	519	665	374	316	365	355	437	422	335	442	467	307	458	442	414	286	754	368	304	334	361	401	380	452	368	341	469	415	370	339	608	254	261	641	235	457	436	318	498	417	359	461	374	404	370	438	471	413	426	439	285	423	405	302	469	332	805	504	853	6328
P29-215_2 - Adapter 1	9824904	2911832	1037349	31425	57802	3353	7825	1679	6836	7946	8003	794	2738	739	3322	2221	1721	1989	1505	1445	1596	1353	2028	1353	1378	957	1273	1128	1046	994	1128	1225	1172	656	604	510	718	575	475	639	567	787	910	542	598	747	553	552	515	468	560	635	414	543	483	468	386	867	437	398	429	405	406	451	490	410	428	490	404	376	330	594	287	273	728	277	501	478	327	564	475	407	473	479	368	392	472	611	450	463	491	327	417	451	330	502	350	904	605	1273	20589
P29-215_3 - Adapter 1	9906496	2929014	1047239	29927	57767	3134	7841	1690	6695	7854	7355	812	2244	797	2991	2000	1532	1929	1468	1359	1545	1381	1956	1379	1344	911	1151	993	1118	1124	1175	1288	1132	671	582	611	694	720	524	745	543	824	891	658	614	622	518	530	601	425	577	497	442	417	550	450	365	885	399	462	433	400	410	419	502	423	443	569	451	430	413	551	353	270	801	254	522	477	391	528	436	439	468	494	465	413	469	567	435	448	467	394	494	414	344	426	355	812	620	1199	14058
P29-354_1 - Adapter 1	11434669	3373820	1215544	39973	62779	3134	9436	1801	5862	6952	9251	744	2052	646	2576	1712	1368	1605	1197	1066	1342	1115	1624	1101	1010	748	917	929	834	935	825	730	679	592	813	650	511	582	531	543	611	566	639	409	463	609	550	557	459	409	515	522	396	493	504	467	336	544	344	378	381	399	377	360	427	355	371	561	461	389	397	486	291	299	574	166	454	454	361	555	442	347	343	379	413	500	403	489	392	453	553	320	400	368	329	511	368	913	497	1153	17321
