Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
C-215_1	0.11174601830505473	0.0
C-215_2	0.14024850599351607	0.0
C-215_3	0.10374821767948461	0.0
C-354_1	0.11518220836263673	0.0
C-354_2	0.0	0.0
C-354_3	0.14148836988376387	0.0
P29-215_1	0.0	0.0
P29-215_2	0.199837754773762	0.5526769742743376
P29-215_3	0.16527713964267574	0.10206259440064788
P29-354_1	0.12613415943295753	0.0
P29-354_2	0.14546200693357214	0.0
P29-354_3	0.2856098791414433	1.1830998633820262
Q2-215_1	0.23165319869611123	0.8641525723038532
Q2-215_2	0.20262961957600348	0.6685455017752949
Q2-215_3	0.2200734644167466	0.7339994236007681
Q2-354_1	0.0	0.0
Q2-354_2	0.5987115435516739	2.5273299428082634
Q2-354_3	0.0	0.0
