Sample	Unique Reads	Duplicate Reads
C-215_1	25464004.0	78836804.0
C-215_2	23400780.0	80143282.0
C-215_3	23142431.0	71490520.0
C-354_1	24935827.0	84759934.0
C-354_2	23345210.0	72858098.0
C-354_3	24393212.0	91777467.0
P29-215_1	23902294.0	59760988.0
P29-215_2	21888435.0	80948489.0
P29-215_3	24037059.0	79038902.0
P29-354_1	23793107.0	90400384.0
P29-354_2	21382400.0	73885088.0
P29-354_3	19403017.0	71538165.0
Q2-215_1	22228134.0	82518531.0
Q2-215_2	21254353.0	78713263.0
Q2-215_3	22505886.0	89631668.0
Q2-354_1	20264162.0	65654837.0
Q2-354_2	12686030.0	100685594.0
Q2-354_3	22860262.0	57659103.0
