Sample	Unique Reads	Duplicate Reads
C-215_1	24766664.0	80667307.0
C-215_2	22704588.0	81588723.0
C-215_3	22616900.0	72917784.0
C-354_1	24138680.0	87173025.0
C-354_2	22940487.0	73878208.0
C-354_3	23810366.0	93551008.0
P29-215_1	23593666.0	60364690.0
P29-215_2	21366397.0	83111336.0
P29-215_3	23377825.0	80763746.0
P29-354_1	23256795.0	92430261.0
P29-354_2	20898823.0	75272480.0
P29-354_3	18783270.0	73670209.0
Q2-215_1	21479896.0	86255511.0
Q2-215_2	20651444.0	81490710.0
Q2-215_3	21832537.0	92002588.0
Q2-354_1	19887888.0	66390107.0
Q2-354_2	12352400.0	108627270.0
Q2-354_3	22436644.0	58772019.0
