Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
C-215_1	170267.0	52085.0	27921.0
C-215_2	166953.0	49415.0	24395.0
C-215_3	166227.0	47953.0	26022.0
C-354_1	161747.0	42077.0	20747.0
C-354_2	161606.0	42717.0	21077.0
C-354_3	161863.0	43160.0	21107.0
P29-215_1	169436.0	51491.0	26797.0
P29-215_2	164702.0	46584.0	23743.0
P29-215_3	166802.0	49227.0	26287.0
P29-354_1	162647.0	43395.0	20704.0
P29-354_2	158988.0	39756.0	19119.0
P29-354_3	151483.0	30567.0	15071.0
Q2-215_1	173338.0	58069.0	33722.0
Q2-215_2	171111.0	56336.0	27666.0
Q2-215_3	172978.0	59606.0	33278.0
Q2-354_1	167248.0	50050.0	25426.0
Q2-354_2	142732.0	23889.0	12039.0
Q2-354_3	165720.0	46658.0	25784.0
