Sample	CDS_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
C-215_1	17442713.0	3113458.0	69310.0	80507.0	54297.0	118058.0	198998.0	90853.0	757531.0
C-215_2	16468232.0	2226011.0	60970.0	62280.0	42513.0	96312.0	154644.0	67732.0	641309.0
C-215_3	15069077.0	4248896.0	63182.0	84218.0	58638.0	108529.0	186614.0	89940.0	799215.0
C-354_1	16231628.0	3326003.0	51752.0	59314.0	46676.0	96410.0	167887.0	76284.0	686956.0
C-354_2	16349421.0	2821381.0	45821.0	54722.0	42831.0	104215.0	174562.0	75489.0	673267.0
C-354_3	16062082.0	3137917.0	49436.0	58044.0	45352.0	95411.0	162884.0	74065.0	671703.0
P29-215_1	16887812.0	3496609.0	66744.0	83019.0	57282.0	117994.0	204097.0	96038.0	800799.0
P29-215_2	15250001.0	2232805.0	55402.0	60669.0	41031.0	90148.0	144814.0	65271.0	591301.0
P29-215_3	15672121.0	3596429.0	65414.0	84251.0	57520.0	104304.0	179405.0	88025.0	755960.0
P29-354_1	16436417.0	2334509.0	47523.0	49539.0	38557.0	90426.0	150507.0	64865.0	604533.0
P29-354_2	15024127.0	2319910.0	43430.0	46513.0	36708.0	82663.0	138152.0	60596.0	568721.0
P29-354_3	12125003.0	1951353.0	29618.0	36382.0	29127.0	63514.0	106649.0	47268.0	463611.0
Q2-215_1	14174550.0	3142246.0	55154.0	74443.0	58236.0	87473.0	165153.0	95292.0	898643.0
Q2-215_2	14964880.0	2331058.0	50623.0	54161.0	38639.0	79044.0	129756.0	64287.0	586505.0
Q2-215_3	15132466.0	2744344.0	51768.0	62998.0	47838.0	84081.0	146792.0	79698.0	722557.0
Q2-354_1	14632450.0	2132681.0	40441.0	44311.0	37179.0	73154.0	122070.0	59332.0	599960.0
Q2-354_2	7999551.0	631317.0	18496.0	16629.0	14662.0	25342.0	36311.0	17907.0	265159.0
Q2-354_3	14439095.0	4526655.0	47096.0	68282.0	58296.0	90660.0	167536.0	92510.0	883849.0
