Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
C-215_1	94843283.0	7928647.0	19093.0	1457723.0	52062.0
C-215_2	93477377.0	8304844.0	16951.0	1703591.0	41299.0
C-215_3	83639885.0	9510927.0	19038.0	1415904.0	47197.0
C-354_1	98671980.0	9330596.0	44026.0	1605181.0	43978.0
C-354_2	87088677.0	7890239.0	39905.0	1145967.0	38520.0
C-354_3	104600193.0	9387453.0	46984.0	2078004.0	58045.0
P29-215_1	75546841.0	7237702.0	16088.0	820775.0	41876.0
P29-215_2	91987408.0	8405251.0	17104.0	2386023.0	41138.0
P29-215_3	92076267.0	8784856.0	19834.0	2143478.0	51526.0
P29-354_1	102593312.0	9722934.0	42376.0	1789282.0	45587.0
P29-354_2	85002769.0	8464616.0	40139.0	1721911.0	38053.0
P29-354_3	74102668.0	6544440.0	33889.0	10223801.0	36384.0
Q2-215_1	91110624.0	10350255.0	30096.0	3182411.0	73279.0
Q2-215_2	88669357.0	9014046.0	18976.0	2225321.0	39916.0
Q2-215_3	98606830.0	10688058.0	27679.0	2759134.0	55853.0
Q2-354_1	76126830.0	8716947.0	29575.0	1002793.0	42854.0
Q2-354_2	93290354.0	11057615.0	30636.0	8958997.0	34022.0
Q2-354_3	72904004.0	6734737.0	38372.0	786102.0	56150.0
