Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
C-215_1	3.4	105433971	14449598	105433971	10395191607	65189361	10305546029	0.8623754269198245
C-215_2	3.4	104293311	14451424	104293311	10301825877	49729211	10227140134	0.7249757847950472
C-215_3	3.4	95534684	13293840	95534684	9447780723	54362863	9368810414	0.8358609425359755
C-354_1	3.4	111311705	14932388	111311705	10921861714	82749548	10813644237	0.9908336127464725
C-354_2	3.4	96818695	13187540	96818695	9614811846	41671671	9551583110	0.6576180274011781
C-354_3	3.4	117361374	16018516	117361374	11603210922	67593953	11508902986	0.812774469359939
P29-215_1	3.4	83958356	12038534	83958356	8360058431	27907151	8312360812	0.5705416941002718
P29-215_2	3.4	104477733	13987143	104477733	10270251951	86149359	10159554072	1.0778496917908766
P29-215_3	3.4	104141571	14085715	104141571	10274721446	61178844	10189523125	0.8292032192577651
P29-354_1	3.4	115687056	16237981	115687056	11432236726	78263456	11326961258	0.9208650111362293
P29-354_2	3.4	96171303	13293075	96171303	9512288839	57219723	9433374331	0.8296058849312239
P29-354_3	3.4	92453479	13631710	92453479	9030477049	77573569	8928580202	1.128366158809779
Q2-215_1	3.4	107735407	13997112	107735407	10458219482	131495586	10297081655	1.5407768719841828
Q2-215_2	3.4	102142154	13607002	102142154	9994688801	100217688	9870552807	1.2420196013264546
Q2-215_3	3.4	113835125	14928989	113835125	11169499580	85535329	11057631498	1.0015496325395805
Q2-354_1	3.4	86277995	12237380	86277995	8585561438	32089207	8533939152	0.6012686109439265
Q2-354_2	3.4	120979670	14793372	120979670	11495761965	296148369	11169243075	2.840341431860885
Q2-354_3	3.4	81208663	11232779	81208663	8057150683	41770954	7997026321	0.7462236262610554
