Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
C-215_1	127404642	0	85849573	24632712	0	617568	16304789	0	0	7964449	8340340	11991841	4312948	0	0	12.797641235081528	0.0
C-215_2	128427319	0	86760620	26645098	0	549980	14471621	0	0	7072839	7398782	10312165	4159456	0	0	11.26833536095229	0.0
C-215_3	129668897	0	76835786	36518085	0	599658	15715368	0	0	7668942	8046426	11956591	3758777	0	0	12.119612616123355	0.0
C-354_1	139332650	0	91923604	31330074	0	605026	15473946	0	0	7582413	7891533	11459317	4014629	0	0	11.105757336848184	0.0
C-354_2	120293680	0	79264092	25314764	0	561130	15153694	0	0	7425524	7728170	11181151	3972543	0	0	12.597248666762875	0.0
C-354_3	143344595	0	98253090	29356949	0	585006	15149550	0	0	7426735	7722815	11173314	3976236	0	0	10.568623114111837	0.0
P29-215_1	109032192	0	65828097	26247649	0	603664	16352782	0	0	7985654	8367128	12177297	4175485	0	0	14.998122756258994	0.0
P29-215_2	126661664	0	86299561	26269005	0	531247	13561851	0	0	6628840	6933011	9721800	3840051	0	0	10.707147349651116	0.0
P29-215_3	130054831	0	84821820	29193708	0	609454	15429849	0	0	7543975	7885874	11507446	3922403	0	0	11.864110607317617	0.0
P29-354_1	145105250	0	97252095	32789004	0	551153	14512998	0	0	7116324	7396674	10402973	4110025	0	0	10.001704280169049	0.0
P29-354_2	122770532	0	79491550	29303147	0	518941	13456894	0	0	6596233	6860661	9701714	3755180	0	0	10.961013022245435	0.0
P29-354_3	100236957	0	69337144	19589849	0	427833	10882131	0	0	5329343	5552788	7817549	3064582	0	0	10.856405986067594	0.0
Q2-215_1	142607230	0	86892972	41146351	0	594386	13973521	0	0	6870820	7102701	10392723	3580798	0	0	9.7986062838469	0.0
Q2-215_2	128689778	0	83802361	31006375	0	521701	13359341	0	0	6553080	6806261	9544583	3814758	0	0	10.38104285174849	0.0
Q2-215_3	147575730	0	94700620	38280842	0	576603	14017665	0	0	6888043	7129622	10171090	3846575	0	0	9.498624875513068	0.0
Q2-354_1	116868666	0	71370786	32024889	0	495121	12977870	0	0	6396730	6581140	9294867	3683003	0	0	11.104661706329393	0.0
Q2-354_2	138571212	0	97730460	34223243	0	293529	6323980	0	0	3115403	3208577	4232255	2091725	0	0	4.563704039768376	0.0
Q2-354_3	101375031	0	63411527	21736290	0	599316	15627898	0	0	7704838	7923060	12107675	3520223	0	0	15.415924262454725	0.0
