Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
C-215_1	16922357	21925725	21168194	89244963	17442713	195.45	0	0	0.0	0	0	0.0	1305291099	3113458	2.39	22119018	69310	3.13	1.5	1.12	23731890	118058	4.97	3.11	2.26	757531	79.55364303802953	0.0	0.0	14.200023032305658	0.31611269410703635	0.68329325484106	0.9309338687774292	0.5384451369338984	1.4460456837801259	1.8604128255736128	3.4549872353137694	82399615	77480840	54297	80507	78695974	78163896	90853	198998
C-215_2	15021601	19820003	19178694	89244963	16468232	184.53	0	0	0.0	0	0	0.0	1305291099	2226011	1.71	22119018	60970	2.76	1.24	0.91	23731890	96312	4.06	2.46	1.76	641309	83.08894806928132	0.0	0.0	11.231133516982817	0.3076185205421008	0.6218465254520901	0.8363419521177671	0.4859333270534823	1.2661753885708291	1.6079109574302284	3.2356655041878652	82399615	77480840	42513	62280	78695974	78163896	67732	154644
C-215_3	16315026	20708309	19909094	89244963	15069077	168.85	0	0	0.0	0	0	0.0	1305291099	4248896	3.26	22119018	63182	2.86	1.48	1.13	23731890	108529	4.57	2.9	2.13	799215	72.76826417840297	0.0	0.0	20.517831755359648	0.305104583865346	0.7117915808577127	0.9949532817962105	0.5240843180387158	1.4252395016898771	1.8595579194805332	3.85939286496063	82399615	77480840	58638	84218	78695974	78163896	89940	186614
C-354_1	16078972	20742910	20055954	89244963	16231628	181.88	0	0	0.0	0	0	0.0	1305291099	3326003	2.55	22119018	51752	2.34	1.12	0.87	23731890	96410	4.06	2.59	1.89	686956	78.25145073666134	0.0	0.0	16.034408865487052	0.2494924771885912	0.5354407843451088	0.7604622495107967	0.46478531700711234	1.2741558440932348	1.6419152375438162	3.3117629107969906	82399615	77480840	46676	59314	78695974	78163896	76284	167887
C-354_2	15714824	20341709	19668442	89244963	16349421	183.2	0	0	0.0	0	0	0.0	1305291099	2821381	2.16	22119018	45821	2.07	1.01	0.79	23731890	104215	4.39	2.74	1.96	673267	80.37388107361087	0.0	0.0	13.869930987607775	0.22525639315752674	0.49427017169501347	0.7048277015466105	0.5123217523168776	1.3704699049622624	1.7415744173707333	3.3097858198640044	82399615	77480840	42831	54722	78695974	78163896	75489	174562
C-354_3	15734556	20356894	19685191	89244963	16062082	179.98	0	0	0.0	0	0	0.0	1305291099	3137917	2.4	22119018	49436	2.23	1.08	0.84	23731890	95411	4.02	2.53	1.84	671703	78.9024199860745	0.0	0.0	15.414517558523416	0.2428464774636052	0.5279783841287379	0.7507628619572317	0.46869134358119663	1.2688330547872382	1.632665572655632	3.2996340207892225	82399615	77480840	45352	58044	78695974	78163896	74065	162884
P29-215_1	16956446	21810394	21009595	89244963	16887812	189.23	0	0	0.0	0	0	0.0	1305291099	3496609	2.68	22119018	66744	3.02	1.5	1.14	23731890	117994	4.97	3.16	2.32	800799	77.43010969907283	0.0	0.0	16.031847017527515	0.3060192310143503	0.6866588471533344	0.9492950929726441	0.5409989383960694	1.476777540103127	1.9171088793719178	3.671639311055087	82399615	77480840	57282	83019	78695974	78163896	96038	204097
P29-215_2	14093098	18531442	17940141	89244963	15250001	170.88	0	0	0.0	0	0	0.0	1305291099	2232805	1.71	22119018	55402	2.5	1.17	0.86	23731890	90148	3.8	2.31	1.66	591301	82.29257604454094	0.0	0.0	12.048738570910995	0.29896216387262253	0.6263462929652209	0.8477591759993637	0.4864597153313811	1.2679099662077027	1.6201275648165967	3.1907986437320957	82399615	77480840	41031	60669	78695974	78163896	65271	144814
P29-215_3	16039303	20603429	19847469	89244963	15672121	175.61	0	0	0.0	0	0	0.0	1305291099	3596429	2.76	22119018	65414	2.96	1.5	1.14	23731890	104304	4.4	2.78	2.06	755960	76.06559568312635	0.0	0.0	17.455487627811856	0.3174908409663265	0.7264082109827447	1.0055850412084317	0.5062458292743407	1.3769989451755822	1.8042336545047917	3.6690979933485828	82399615	77480840	57520	84251	78695974	78163896	88025	179405
P29-354_1	15064151	19816876	19212343	89244963	16436417	184.17	0	0	0.0	0	0	0.0	1305291099	2334509	1.79	22119018	47523	2.15	0.97	0.75	23731890	90426	3.81	2.36	1.69	604533	82.94151409132297	0.0	0.0	11.780408778861007	0.23981075523710196	0.4897946578461711	0.6843611475390975	0.4563080477467791	1.2157970812352057	1.5431191071690613	3.0505968751078627	82399615	77480840	38557	49539	78695974	78163896	64865	150507
