Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
C-215_1	104300808.0	98.0	94843283.0	90.93	98.59	40270736.0	40245923.0	39837786.0	371516.0	42087.0	19347.0	0.18	0.01	1.87	0.01	1.6	7928647.0	7.6	19093.0	0.02	0.0	1.4	0.05	0	1457723	52062
C-215_2	103544062.0	98.0	93477377.0	90.28	98.56	41161760.0	41136521.0	40738872.0	357775.0	44925.0	20188.0	0.18	0.01	1.82	0.01	1.59	8304844.0	8.02	16951.0	0.02	0.0	1.65	0.04	0	1703591	41299
C-215_3	94632951.0	98.0	83639885.0	88.38	98.85	34700374.0	34676733.0	34323310.0	321173.0	38283.0	17608.0	0.18	0.01	1.84	0.01	1.63	9510927.0	10.05	19038.0	0.02	0.0	1.5	0.05	0	1415904	47197
C-354_1	109695761.0	98.0	98671980.0	89.95	98.36	42355213.0	42329872.0	41891864.0	409237.0	37185.0	16927.0	0.19	0.01	1.83	0.01	1.67	9330596.0	8.51	44026.0	0.04	0.0	1.46	0.04	0	1605181	43978
C-354_2	96203308.0	99.0	87088677.0	90.53	99.07	37147837.0	37124843.0	36738199.0	360801.0	34119.0	14718.0	0.17	0.01	1.79	0.01	1.65	7890239.0	8.2	39905.0	0.04	0.0	1.19	0.04	0	1145967	38520
C-354_3	116170679.0	99.0	104600193.0	90.04	98.87	45293467.0	45265651.0	44784187.0	449461.0	42288.0	17531.0	0.18	0.01	1.8	0.01	1.68	9387453.0	8.08	46984.0	0.04	0.0	1.79	0.05	0	2078004	58045
P29-215_1	83663282.0	99.0	75546841.0	90.3	99.18	31690031.0	31668937.0	31347174.0	292854.0	33708.0	16295.0	0.18	0.01	1.86	0.01	1.62	7237702.0	8.65	16088.0	0.02	0.0	0.98	0.05	0	820775	41876
P29-215_2	102836924.0	98.0	91987408.0	89.45	98.58	39389618.0	39366407.0	38990491.0	338178.0	42750.0	18199.0	0.19	0.01	1.78	0.01	1.58	8405251.0	8.17	17104.0	0.02	0.0	2.32	0.04	0	2386023	41138
P29-215_3	103075961.0	98.0	92076267.0	89.33	98.64	38039535.0	38015611.0	37640933.0	340189.0	40363.0	18050.0	0.18	0.01	1.82	0.01	1.6	8784856.0	8.52	19834.0	0.02	0.0	2.08	0.05	0	2143478	51526
P29-354_1	114193491.0	99.0	102593312.0	89.84	98.99	46214114.0	46187735.0	45721754.0	434158.0	40736.0	17466.0	0.18	0.01	1.82	0.01	1.67	9722934.0	8.51	42376.0	0.04	0.0	1.57	0.04	0	1789282	45587
P29-354_2	95267488.0	99.0	85002769.0	89.23	98.81	37347689.0	37323270.0	36936496.0	360636.0	34163.0	16394.0	0.19	0.01	1.8	0.01	1.68	8464616.0	8.89	40139.0	0.04	0.0	1.81	0.04	0	1721911	38053
P29-354_3	90941182.0	98.0	74102668.0	81.48	98.69	32761186.0	32741851.0	32424382.0	296770.0	28192.0	11842.0	0.18	0.01	1.81	0.01	1.7	6544440.0	7.2	33889.0	0.04	0.0	11.24	0.04	0	10223801	36384
Q2-215_1	104746665.0	98.0	91110624.0	86.98	98.1	37893730.0	37859238.0	37479388.0	356686.0	36847.0	20809.0	0.19	0.01	1.88	0.01	1.6	10350255.0	9.88	30096.0	0.03	0.0	3.04	0.07	0	3182411	73279
Q2-215_2	99967616.0	98.0	88669357.0	88.7	98.52	39315489.0	39286507.0	38899850.0	354393.0	41761.0	19485.0	0.18	0.01	1.8	0.01	1.58	9014046.0	9.02	18976.0	0.02	0.0	2.23	0.04	0	2225321	39916
Q2-215_3	112137554.0	98.0	98606830.0	87.93	98.41	42010418.0	41976263.0	41564469.0	377755.0	46293.0	21901.0	0.19	0.01	1.78	0.01	1.56	10688058.0	9.53	27679.0	0.02	0.0	2.47	0.05	0	2759134	55853
Q2-354_1	85918999.0	99.0	76126830.0	88.6	99.16	34290283.0	34263733.0	33925328.0	323446.0	28101.0	13408.0	0.18	0.01	1.77	0.01	1.71	8716947.0	10.15	29575.0	0.03	0.0	1.17	0.05	0	1002793	42854
Q2-354_2	113371624.0	98.0	93290354.0	82.29	98.26	43884538.0	43853293.0	43451189.0	383156.0	34397.0	15796.0	0.19	0.01	1.7	0.0	1.77	11057615.0	9.75	30636.0	0.03	0.0	7.9	0.03	0	8958997	34022
Q2-354_3	80519365.0	99.0	72904004.0	90.54	99.1	28240421.0	28216174.0	27931805.0	270710.0	25594.0	12312.0	0.19	0.01	1.76	0.01	1.65	6734737.0	8.36	38372.0	0.05	0.0	0.98	0.07	0	786102	56150
