Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrM	chr22_KI270733v1_random	chrUn_GL000220v1
C-215_1	10479144	7557089	4956354	2601035	4939630	5453669	4926895	3593094	4478373	3345875	7077563	9582023	1716401	2549463	3741125	6120017	7665043	998888	6123896	3957220	9179907	1991449	3616343	1961062	4368712	4285906
C-215_2	10368473	7495149	4815257	2558497	4834943	5360312	4825931	3486466	4502426	3240146	7064711	9554650	1698808	2477392	3674806	5978341	7582475	981711	6066844	3908043	10294484	1979684	3524402	2227314	4948140	4850381
C-215_3	9506726	6813016	4326538	2378400	4343678	4777117	4313277	3140286	4102219	2860900	6210462	8281990	1601272	2291962	3284058	5385452	6708864	893775	5180556	3443833	15761708	1746292	3126917	3421929	7885354	7743038
C-354_1	10799814	7794061	5451005	2429606	5745878	7744253	6464282	4913350	6183586	3650898	7641097	8070424	1251879	3073465	2958002	4371437	9983021	1113769	6180347	2462368	12187376	2456655	2479818	1860849	6032970	5920854
C-354_2	9526035	7295294	5003373	2330218	5226721	6867652	5769436	4400064	5392845	3246531	6592273	7135018	1194705	2798833	2661515	3594556	8302755	1048151	5035404	2128247	9548062	2019201	2189901	1701039	4627795	4558397
C-354_3	11589298	8397734	5814084	2653854	6077621	8101430	6764347	5096498	6490018	3791136	7927594	8536498	1356776	3280903	3226464	4445978	10259907	1201282	6233822	2566416	10745614	2507792	2617984	3201197	5213161	5124328
P29-215_1	8366974	6086958	3961608	2103393	3932296	4305605	3919406	2904235	3528089	2687657	5589686	7515917	1394600	2038283	2954460	4890037	6000326	808151	4742964	3131248	11058604	1567346	2870240	1695385	5477276	5380876
P29-215_2	10312623	7321514	4700814	2508327	4701320	5255776	4696877	3381863	4421438	3135104	6827999	9173484	1710174	2400732	3565583	5800779	7278973	952009	5782194	3760314	9901598	1910234	3399022	4169433	4776337	4687274
P29-215_3	10351573	7288166	4659595	2533037	4652405	5146736	4683575	3383106	4434541	3125093	6843544	8963084	1700928	2387043	3568115	6085617	7405964	955035	5757743	3821561	11430983	1931814	3398597	4362562	5568288	5461506
P29-354_1	11248236	8184187	5633160	2512189	5996601	8177779	6681346	5061379	6432981	3776739	8044422	8621278	1302334	3179741	3112934	4396998	10343499	1161566	6385870	2560829	12935944	2513129	2587035	1488931	6379321	6281329
P29-354_2	9432370	6718364	4662722	2074472	4889292	6681525	5483973	4118468	5325089	3050224	6653011	7049479	1080193	2656275	2571213	3659938	8496691	952380	5303477	2106378	11796517	2080342	2124327	2035156	5892968	5782929
P29-354_3	8206999	6161353	4188279	1954511	4404260	5826385	4850092	3636279	4664142	2722244	5618002	6139920	996508	2410261	2329007	3069486	7190988	881087	4305550	1808535	6838526	1737506	1890475	1757492	3309208	3254387
Q2-215_1	10560046	7186521	4898995	2545512	4757908	5851686	4572158	3668372	4369432	3467567	6615271	8779214	1823711	2328007	3614357	5965200	6863638	1064517	5685811	3684157	18212840	1868843	3372870	2404502	9290091	8972368
Q2-215_2	10156876	7045837	4636652	2430199	4607676	5670409	4520109	3450379	4399950	3155795	6533539	8992650	1757229	2235332	3531954	5655657	6852602	1000619	5767894	3628820	12476667	1830815	3247086	2757957	6174040	6058549
Q2-215_3	11521093	7750872	5119302	2721256	4989114	6510845	4925335	3848247	4910710	3507057	7180173	9435234	2046793	2400531	3831769	6242610	7379851	1150935	6182791	3962722	15774282	1978881	3557396	4878450	7890211	7724843
Q2-354_1	8871237	6029728	4345273	1916482	4754972	7282612	5005681	3871112	4979576	2810385	5663301	5743756	1110367	2225382	2292689	3043524	7146966	934033	4743287	1798447	13319969	1804487	1761108	2024777	6709872	6611158
Q2-354_2	11421096	6845596	5146526	2298871	5480386	10184398	6202752	4380520	6717625	3063189	6932535	7470735	1384215	2682780	2789911	3663063	9215489	1054733	6517338	2120368	12042190	2178648	2095836	4598037	6052135	5947354
Q2-354_3	8508266	5711584	4139400	1796415	4295227	6191395	4649421	3800326	4430471	2629349	5253944	5126861	1056293	2132599	2120763	3060341	6775851	886326	4354640	1709683	8018643	1722493	1650008	3446152	3935941	3882674
