Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrM	chr22_KI270733v1_random	chrUn_GL000220v1
C-215_1	0.08225088062332925	0.05931564879716078	0.03890246008461764	0.020415543414815294	0.03877119328195279	0.04280588928620042	0.03867123617049997	0.02820222201950852	0.03515078359546742	0.026261798216112093	0.05555184559130899	0.07520937109968097	0.013472044448741515	0.02001075439621737	0.029364118459671195	0.0480360597850116	0.06016298056078679	0.00784027947741496	0.048066506085390516	0.031060249751339516	0.0720531595701199	0.01563089828391025	0.028384703596592658	0.015392390490764065	0.03429005357591288	0.033640108654753725
C-215_2	0.08073416996270084	0.058361017409387796	0.03749402414917655	0.019921750449372846	0.037647309292503414	0.041738097795220655	0.037577137306743905	0.02714738598568736	0.035058163909814234	0.02522941400030316	0.05500940964126176	0.07439733286030832	0.013227777494911344	0.01929022593705316	0.028613896393803875	0.046550383878993844	0.05904098177117596	0.00764409790412272	0.047239512957519575	0.030429997530354115	0.08015805422209273	0.015414819957426659	0.02744277485073094	0.017342992264753266	0.03852871833289613	0.0377675173613178
C-215_3	0.07331539189386334	0.05254163610260369	0.03336604305348568	0.01834210095887528	0.03349822586984757	0.03684088559803204	0.0332637748896715	0.024217727401506316	0.03163610622831164	0.022063116647009037	0.04789477001566536	0.06387028957298835	0.012348928980247283	0.01767549545825164	0.02532648982122521	0.04153233446568146	0.051738421126540465	0.006892747765102066	0.039952186837835135	0.02655866657059634	0.12155349790628665	0.013467315913082843	0.02411462634713396	0.026389744026279485	0.06081145272640053	0.05971391890531775
C-354_1	0.0775110069319718	0.055938511181693594	0.039122237321977296	0.01743744915495399	0.041238561098206346	0.055581035744314056	0.04639459595435815	0.03526345045472113	0.04438002148096659	0.026202745731169257	0.05484067804638755	0.05792198741644546	0.008984821576278066	0.02205846942550795	0.021229783543196802	0.03137410362897713	0.07164882746434521	0.007993596619313564	0.04435677495547526	0.01767258427942051	0.08746963471950042	0.017631581685986737	0.017797824128084838	0.013355441097258969	0.043299040102947876	0.04249437586954673
C-354_2	0.07918982111113401	0.06064569643226477	0.04159298310601189	0.019371075853694058	0.043449672501498	0.05709071332758296	0.04796125615244292	0.036577682219049244	0.04483065943281476	0.026988375449150778	0.054801490818137746	0.059313323858743036	0.009931569139791882	0.023266667043522152	0.02212514406409381	0.029881503334173498	0.06902070831983859	0.008713267396923928	0.0418592564463902	0.017692093217199775	0.07937293131276722	0.01678559505370523	0.018204622221217274	0.014140717949604668	0.03847080744391559	0.03789390265556761
C-354_3	0.08084921513782922	0.058584238910438166	0.0405601899394951	0.01851380583969699	0.042398675722652816	0.056517164110722135	0.0471894109436076	0.03555416930788356	0.04527563805248464	0.02644770805624028	0.05530445009105506	0.05955228378161032	0.00946513539628055	0.022888222607905098	0.022508445470162303	0.03101601424176475	0.07157512287086933	0.008380378764891692	0.043488364524661705	0.017903821207908118	0.07496351013444211	0.01749484868962098	0.018263569686739846	0.02233217792411357	0.0363680332697581	0.03574831684445444
P29-215_1	0.07673856543212486	0.055827163412435106	0.0363342965717868	0.019291485949397405	0.036065458539070734	0.039489300554463765	0.0359472365739469	0.026636490991577975	0.03235823232830172	0.024650123515814484	0.05126638195075451	0.06893300833573997	0.012790717809287004	0.018694322865672554	0.0270971347618142	0.044849478950216834	0.05503260908484716	0.0074120402898989685	0.04350058375419986	0.02871856414663295	0.10142512772741467	0.014375075574010288	0.026324702341121418	0.015549398474901797	0.050235402036125254	0.049351259488573794
P29-215_2	0.08141866034540649	0.05780370925807512	0.03711315524798411	0.019803363707585588	0.03711715014260353	0.04149460723964593	0.03708207244142948	0.026699972929457173	0.034907468134952026	0.02475179861840438	0.053907384321115505	0.07242510251562778	0.013501906938471928	0.018953895947553635	0.02815045126834904	0.045797432441752856	0.05746784599324386	0.007516157374973378	0.045650702962500164	0.029687861987980832	0.07817359797199569	0.015081390372386075	0.026835444069327873	0.03291787639865524	0.03770941300755373	0.03700625628919576
P29-215_3	0.07959391373935198	0.056039179351976554	0.0358279270686992	0.0194766851836515	0.03577264269406494	0.039573585697866155	0.036012310838341714	0.02601292065805691	0.034097472319194355	0.02402904202766601	0.052620452061484746	0.0689177320910132	0.013078545309862423	0.0183541278831849	0.027435466814762152	0.046792702379506376	0.05694493578635307	0.007343325831548695	0.04427165800553768	0.029384229487023055	0.08789356698329799	0.014853842684244462	0.0261320319581208	0.033544021136746545	0.04281492626752174	0.04199387256902437
P29-354_1	0.07751777416737161	0.05640172908974692	0.038821200473449446	0.017312874620318698	0.04132587208250563	0.056357568041128764	0.0460448260831362	0.03488074346035033	0.044333206413965036	0.026027583426512825	0.055438531686482745	0.059413963312836715	0.00897509910909495	0.021913342211946157	0.021452938470523982	0.03030212897190143	0.07128273442897483	0.008004989481772713	0.04400853862971877	0.017648079583612586	0.08914869723872844	0.017319352676763936	0.017828679527446458	0.010261041554320054	0.04396340587263383	0.043288089162866264
